ticker,Sector,,,
JPM,Financials,,,Financials
BAC,Financials,,,Healthcare
V,Financials,,,Consumer Staples
MA,Financials,,,Energy
C,Financials,,,Transportation
WFC,Financials,,,Technology
MS,Financials,,,
BLK,Financials,,,
SCHW,Financials,,,
GS,Financials,,,
JNJ,Healthcare,,,
UNH,Healthcare,,,
MRK,Healthcare,,,
PFE,Healthcare,,,
ABT,Healthcare,,,
TMO,Healthcare,,,
ABBV,Healthcare,,,
DHR,Healthcare,,,
LLY,Healthcare,,,
BMY,Healthcare,,,
CVS,Healthcare,,,
GILD,Healthcare,,,
CI,Healthcare,,,
HUM,Healthcare,,,
AMZN,Consumer Staples,,,
HD,Consumer Staples,,,
NKE,Consumer Staples,,,
MCD,Consumer Staples,,,
SBUX,Consumer Staples,,,
LOW,Consumer Staples,,,
TJX,Consumer Staples,,,
ROST,Consumer Staples,,,
CMG,Consumer Staples,,,
EBAY,Consumer Staples,,,
YUM,Consumer Staples,,,
XOM,Energy,,,
CVX,Energy,,,
COP,Energy,,,
EPD,Energy,,,
SLB,Energy,,,
EOG,Energy,,,
KMI,Energy,,,
PSX,Energy,,,
MPC,Energy,,,
MPLX,Energy,,,
VLO,Energy,,,
TSLA,Transportation,,,
F,Transportation,,,
GM,Transportation,,,
DAL,Transportation,,,
LUV,Transportation,,,
UAL,Transportation,,,
AAL,Transportation,,,
ODFL,Transportation,,,
KNX,Transportation,,,
CCL,Transportation,,,
RCL,Transportation,,,
EXPE,Transportation,,,
BKNG,Transportation,,,
T,Technology,,,
VZ,Technology,,,
TMUS,Technology,,,
ZM,Technology,,,
ADBE,Technology,,,
MSFT,Technology,,,
ORCL,Technology,,,
BKI,Technology,,,
MDB,Technology,,,
VRSN,Technology,,,
SQ,Technology,,,
AAPL,Technology,,,
INTC,Technology,,,
CRM,Technology,,,
DOCU,Technology,,,
